
Sales Order,售卖单(x)
Library Membership,会员资格
Library Transaction,借还书业务
Create Membership,建立会员(x)
CreateSB,建立会员(x)
Create Transaction,借还书
Article2,图书(x)
Member,会员(x)
you can help me ?,可以帮助我吗？
Bench Settings,bench 设置
Update,更新
Get App,获取应用(x)
Auto Update, 自动更新(x)
Gunicorn Workers,连接Workers(x)
Custom Link Option, 定制链接
test info, 测试信息
Birth,出生日期
wtt noting:,以下是wtt进行的有效翻译
Wttapp1,wt应用
Added Field,客制字段
There's nothing here,这里什么也没有
"The page you are looking for has gone missing.",你访问的网页不存在。
"Back to Home",回主页
